,chapter,dim0,dim1,book_number,book_name,book_ch,sentiment_score,chapter_length
559,82,-0.048269226313295,0.1078755154305819,19,Psalms,19-82,0.2,8
560,83,-0.0040193817493724,0.1802426379054823,19,Psalms,19-83,0.2222222222222222,18
561,84,-0.0082274767172348,0.0605033611709742,19,Psalms,19-84,0.2589928057553957,12
562,85,0.0964965301341171,0.2154453581479993,19,Psalms,19-85,0.2242990654205607,13
563,86,-0.1312838604946343,-0.0450994674131529,19,Psalms,19-86,0.2470588235294117,17
564,87,0.0434840015284744,0.0284137271027531,19,Psalms,19-87,0.3055555555555556,7
565,88,-0.3076811693571569,-0.0229578679176487,19,Psalms,19-88,0.1481481481481481,18
566,89,0.0173106762125872,-0.0408789564303148,19,Psalms,19-89,0.2371794871794871,52
567,90,-0.0230644995813021,0.0842888426484665,19,Psalms,19-90,0.211864406779661,17
568,91,-0.140509545551598,-0.0373042762287973,19,Psalms,19-91,0.1517241379310344,16
569,92,-0.0233621421256372,-0.1602038725466182,19,Psalms,19-92,0.2621359223300971,15
570,93,0.2270165019314249,-0.1484083263496498,19,Psalms,19-93,0.2941176470588235,5
571,94,-0.0669234959068467,-0.0452796692637536,19,Psalms,19-94,0.171875,23
572,95,0.105232885682241,0.2075367122942777,19,Psalms,19-95,0.3157894736842105,11
573,96,0.3101157086939681,-0.0094455317830641,19,Psalms,19-96,0.293103448275862,13
574,97,0.1841472851364008,-0.1232794002424021,19,Psalms,19-97,0.2857142857142857,12
575,98,0.2133400621842821,0.038437830416075,19,Psalms,19-98,0.3243243243243243,9
576,99,0.2494075338861908,0.0399374651133774,19,Psalms,19-99,0.2625,9
577,100,0.3116298238920725,0.0028264964431357,19,Psalms,19-100,0.2982456140350877,5
578,101,-0.2319987003828391,-0.1956809402239305,19,Psalms,19-101,0.1639344262295081,8
579,102,-0.0364202394043144,-0.0678531408467374,19,Psalms,19-102,0.152317880794702,28
580,103,0.2361055516744467,-0.1525883148097426,19,Psalms,19-103,0.2684563758389262,22
581,104,0.1251149694803861,-0.0380889446100976,19,Psalms,19-104,0.2738853503184713,35
582,105,0.1975878473240768,0.0381320273324152,19,Psalms,19-105,0.3189189189189189,45
583,106,0.098025170040979,0.0374009507243388,19,Psalms,19-106,0.2285714285714285,48
584,107,0.158319539246098,-0.0817093587172225,19,Psalms,19-107,0.2390438247011952,43
585,108,0.111202570406329,0.2901259473079172,19,Psalms,19-108,0.2584269662921348,13
586,109,-0.1922479773978854,-0.013188250026748,19,Psalms,19-109,0.1441441441441441,31
587,110,0.1313459845931457,-0.1200849161879804,19,Psalms,19-110,0.35,7
588,111,0.2956738376246803,-0.1765437757634007,19,Psalms,19-111,0.3428571428571428,10
589,112,0.0609675431691945,-0.2701153778989884,19,Psalms,19-112,0.2317073170731707,10
590,113,0.341398347819858,-0.1387550834657062,19,Psalms,19-113,0.2531645569620253,9
