index,chapter,dim0,dim1,book
31,32,-0.27185702702528275,-0.062140078319142526,4
32,33,-0.20101093175738408,-0.12493730876632915,4
33,34,-0.23101242095857505,0.217970491789066,4
34,35,-0.08921401465675381,-0.061793024919465964,4
35,36,-0.19100231843305376,0.27335369222214023,4
0,1,-0.24537545723672355,0.20860609462880783,5
1,2,-0.19367292986125448,0.33595532459139343,5
2,3,-0.14806846410469607,0.4207817586686929,5
3,4,-0.3030439731822956,0.02279419218589038,5
4,5,-0.1378390706955584,-0.15004633934600137,5
5,6,-0.27178277598679734,-0.20413685361439746,5
6,7,-0.1704529272279892,-0.17117155698756006,5
7,8,-0.16007568979568465,-0.1802111908056349,5
8,9,-0.27265640326277524,0.04885731549843726,5
9,10,-0.1893488348169658,-0.015786190531042504,5
10,11,-0.28630722369289135,-0.07318166811085468,5
11,12,0.01304387627598436,-0.32195314298509037,5
12,13,0.03418139458149092,-0.12063222926200551,5
13,14,0.1635752637182081,-0.24644001408518618,5
14,15,0.1696144807178839,-0.2686470036506424,5
15,16,0.06508547448455275,-0.2852212480568155,5
16,17,0.14465344330543056,-0.056063020356177426,5
17,18,-0.019918480327463087,-0.07849988436863627,5
18,19,0.24005972502738376,0.009463980690700868,5
19,20,0.26075521616412195,0.01599070830427097,5
20,21,0.4451822028965152,0.09624741455843383,5
21,22,0.6141534327624619,0.21685572829788868,5
22,23,0.24096254349836096,-0.20023669309824826,5
23,24,0.40357315503042385,-0.0796427549793897,5
24,25,0.4749333605312708,0.13087761098694387,5
25,26,-0.17821077121374673,-0.1947747114255707,5
26,27,0.12540026594456744,0.17640157811114818,5
27,28,-0.08295993554868224,-0.15959539923587943,5
28,29,-0.2544282314872205,0.09506625446633818,5
29,30,-0.2235057403834205,-0.18351234323567628,5
30,31,-0.1721079198414126,0.23563130327513088,5
31,32,0.004051124798263144,0.19755118212108697,5
32,33,0.018592068677145614,0.25839737416199715,5
33,34,-0.10806219974848927,0.5202744235876468,5
0,1,-0.20784464783562792,-0.24004117824154883,6
1,2,-0.2568162469279554,-0.02336900257070681,6
2,3,-0.2837233918993691,-0.208571427580828,6
3,4,-0.3104355545929691,-0.12004604402545914,6
4,5,-0.22620490650208305,-0.0633791511034615,6
5,6,-0.2579468149694417,-0.07024817819553282,6
6,7,-0.2994982372411481,-0.0264037001619171,6
7,8,-0.2599659548718555,0.2125902927579566,6
8,9,-0.2661121686702607,-0.012331456334741295,6
9,10,-0.21697374889732696,0.5469026009644903,6
